system:index,VH_before,VH_event,VV_before,VV_event,VV_minus_VH_event,class,dVH_event_before,dVV_event_before,elevation,random,slope,.geo
41,-17.914822,-14.276177,-11.933978,-9.585682,4.690495,0,3.638645,2.348296,11.0,0.4968625610186791,2.63784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.88657601468697,8.990204616175554]}"
42,-17.556032,-17.118244,-9.305001,-12.725944,4.3923,0,0.43778825,-3.4209418,32.0,0.378351077542486,3.8661814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68580254868625,9.29608097041825]}"
43,-15.967285,-23.4391,-10.934896,-22.003511,1.4355876,0,-7.4718146,-11.068615,16.0,0.07973168513002593,2.0778728,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.95610561767782,8.700767431632244]}"
44,-15.510516,-17.712446,-8.265695,-9.167412,8.545034,0,-2.2019303,-0.90171677,177.0,0.7011999757406409,5.945394,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.09839875868235,8.843599561807249]}"
45,-13.808686,-29.290571,-10.062134,-23.216312,6.074258,0,-15.481884,-13.15418,8.0,0.8837701179051023,0.9386326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.85073323485061,8.869740536575126]}"
46,-12.568107,-13.470212,-7.1378202,-9.717534,3.7526784,0,-0.90210515,-2.5797138,18.0,0.6727759187696398,3.352228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.77689171849597,8.670314543500591]}"
47,-16.32562,-20.112005,-9.16884,-14.22871,5.883295,0,-3.7863836,-5.059869,199.0,0.08390637961598268,13.700685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.16685038333226,8.480859850079785]}"
48,-15.273996,-16.907358,-6.153301,-9.009321,7.898036,0,-1.6333606,-2.8560205,3.0,0.8306875517971875,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.78632402897924,9.050840897853622]}"
49,-20.262321,-20.995127,-13.397572,-14.225855,6.7692723,0,-0.7328054,-0.828284,43.0,0.2941770652714486,2.9341059,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.50766662784535,9.01580660177296]}"
50,-13.623037,-16.56381,-4.6483345,-8.220984,8.342826,0,-2.9407732,-3.5726502,12.0,0.9420403382445137,2.7802885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.79683431780343,8.882676276666448]}"
51,-20.65097,-18.840492,-13.123075,-12.578327,6.2621655,0,1.8104777,0.5447472,40.0,0.6569504311629896,5.4104443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.92538323496093,9.123334941282067]}"
52,-16.673635,-19.52597,-11.273365,-17.357807,2.168164,0,-2.8523352,-6.0844417,75.0,0.1980886925123101,5.2640066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9755092278148,8.916363099820929]}"
53,-17.449451,-18.641317,-12.172273,-11.430275,7.211042,0,-1.191865,0.74199766,19.0,0.4586189786646685,2.0783923,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.60064225975172,9.148397937709001]}"
54,-14.894387,-14.208401,-9.806245,-10.789064,3.4193368,0,0.685986,-0.9828193,4.0,0.06561670982616385,1.3196732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.61708142945112,9.019579525966263]}"
55,-17.12,-19.120996,-11.244058,-10.638609,8.482387,0,-2.0009956,0.6054489,68.0,0.8534827914718957,7.9973874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.76934587010938,9.340817071567404]}"
56,-18.231417,-17.144833,-12.94423,-11.907042,5.237791,0,1.0865835,1.037188,6.0,0.27879772342379705,5.26718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.00299767550887,9.34297302824929]}"
57,-15.141886,-15.0649185,-9.074508,-8.024143,7.0407753,0,0.076967046,1.0503638,12.0,0.45339918565627935,3.8212774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.54027547265889,8.984006240715129]}"
58,-18.629097,-17.728594,-12.715894,-10.421538,7.3070564,0,0.90050244,2.2943556,7.0,0.3077540368234888,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75263720582475,8.884293244177863]}"
59,-16.239803,-17.59874,-9.260211,-9.333133,8.265607,0,-1.3589364,-0.07292221,76.0,0.2633811648116541,5.438845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.6125000215021,8.7673325941855]}"
60,-14.852421,-15.344334,-9.619437,-11.112879,4.231455,0,-0.4919127,-1.4934419,2.0,0.2652618807908447,2.095617,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.91325597862532,9.40145335324547]}"
61,-13.961868,-16.652838,-9.092452,-9.971627,6.6812096,0,-2.6909692,-0.8791753,7.0,0.8074777322740336,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8687893720614,9.162411656141266]}"
62,-17.654417,-15.903593,-13.756483,-12.299335,3.6042585,0,1.7508245,1.4571487,7.0,0.9111043850177514,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.83483305432169,9.083988731837632]}"
63,-14.264979,-18.01208,-9.729019,-10.373089,7.6389904,0,-3.7471,-0.6440696,90.0,0.6503806652754315,2.6371694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.05851356006745,8.806139814459463]}"
64,-13.675296,-16.205894,-9.1034155,-9.588822,6.617072,0,-2.5305986,-0.48540613,62.0,0.42662970016843826,2.9342346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02401825315725,9.169418515357398]}"
65,-13.563511,-20.402794,-9.0486,-10.190729,10.212064,0,-6.839282,-1.1421285,4.0,0.2859385016127959,2.6379786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.63405958832097,9.027664363523337]}"
66,-14.60244,-15.982203,-10.422739,-11.191157,4.791045,0,-1.3797626,-0.76841813,7.0,0.1615400619881262,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.71733341515885,8.772452991304982]}"
67,-14.762811,-16.390461,-8.616932,-10.872007,5.5184536,0,-1.6276511,-2.255076,11.0,0.5751710509800071,3.8213313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80572763911621,9.068627540479188]}"
68,-17.605404,-20.051113,-13.055009,-13.457145,6.593968,0,-2.4457085,-0.40213546,91.0,0.8447181268724375,3.3692908,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.99383485961084,9.023082955574328]}"
69,-14.604957,-15.341804,-8.777517,-10.753795,4.5880084,0,-0.73684645,-1.9762771,66.0,0.2813121216732368,4.6482735,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.47478828844658,9.031976276887113]}"
70,-15.268362,-25.61244,-11.314872,-21.156944,4.4554954,0,-10.344078,-9.8420725,17.0,0.9050145450106278,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.99922475131555,8.614798658942005]}"
71,-14.958586,-17.48023,-10.141403,-13.6411295,3.8391013,0,-2.5216453,-3.4997263,8.0,0.34502427534430524,3.3681421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.72407077978976,8.844408045562956]}"
72,-16.499088,-18.894215,-9.99147,-13.690206,5.204008,0,-2.3951247,-3.6987352,29.0,0.9916386745865016,5.907322,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68903648370909,8.761942702480784]}"
73,-11.825355,-13.43271,-6.798111,-7.849284,5.5834255,0,-1.6073549,-1.0511729,10.0,0.19210766833504,1.3191353,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.8755267366923,8.723674471377292]}"
74,-16.144794,-18.785301,-11.977145,-12.955612,5.8296885,0,-2.640506,-0.97846735,25.0,0.2809125310433769,3.8600342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.73323359568776,8.682711294421441]}"
75,-13.699191,-14.345022,-9.748583,-10.565556,3.779467,0,-0.6458316,-0.81697285,23.0,0.08181847026434996,3.9507477,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.00488413760552,8.518858586598041]}"
76,-14.872696,-15.114464,-8.597236,-9.767333,5.34713,0,-0.24176769,-1.1700975,13.0,0.9745264535530318,2.6370995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89816428185212,8.786736204322482]}"
77,-14.442985,-15.899384,-8.239695,-9.989971,5.9094124,0,-1.4563994,-1.7502768,18.0,0.3114326516062077,2.0785842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.84884677275394,9.307938732168628]}"
78,-18.714268,-21.19092,-14.502174,-13.459072,7.7318473,0,-2.4766514,1.043102,14.0,0.13570234626473365,9.491481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.97847366825239,9.302279345878675]}"
79,-16.684889,-18.047083,-11.746034,-17.742487,0.30459577,0,-1.3621945,-5.9964533,11.0,0.07390868281126295,3.8613305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.80653612287192,8.815841619527955]}"
80,-15.650992,-17.152658,-8.920538,-10.975963,6.176695,0,-1.5016651,-2.0554242,177.0,0.9499234569203405,5.4083333,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.67394478693588,8.587579705833184]}"
81,-16.032898,-17.558046,-7.973683,-9.629595,7.9284506,0,-1.5251473,-1.6559122,82.0,0.8366314463223183,8.741311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.04153540119759,8.914476637724277]}"
82,-14.980894,-15.305629,-8.529054,-10.632715,4.6729136,0,-0.32473406,-2.1036613,97.0,0.6578572561321903,7.2607746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.52248883003332,9.207956241046126]}"
83,-13.624512,-16.373331,-8.011258,-10.60936,5.7639704,0,-2.748819,-2.5981016,8.0,0.5319621565751237,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75560164626235,8.81287717909036]}"
84,-17.162298,-17.084755,-10.018622,-10.375225,6.70953,0,0.07754419,-0.35660252,25.0,0.6707141775024011,3.352457,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02428774774249,8.752240897412292]}"
85,-18.009247,-18.643188,-12.334091,-13.41259,5.230598,0,-0.63394153,-1.0784998,25.0,0.3394944170995876,3.371129,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9717363036215,9.301470862122969]}"
86,-13.132191,-16.3996,-6.8305125,-8.568896,7.8307037,0,-3.2674088,-1.7383835,7.0,0.35441445329782484,1.319331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.77850868600738,8.832550283812578]}"
87,-14.823553,-16.708666,-8.449378,-10.421138,6.2875276,0,-1.8851124,-1.9717599,6.0,0.3842892086812979,0.93934983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.77446626722886,9.145702991856643]}"
88,-14.444818,-16.625385,-7.085975,-9.943886,6.6814985,0,-2.1805673,-2.8579106,5.0,0.48165280199037674,2.963481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.75209821665428,9.029550825619989]}"
89,-18.278135,-18.334959,-12.657194,-15.116345,3.2186134,0,-0.056823667,-2.4591515,10.0,0.4513593824262828,2.9342883,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.62462727783772,9.232749742887824]}"
90,-15.392203,-27.676249,-12.236348,-22.243673,5.432576,0,-12.284045,-10.007324,20.0,0.06907441523819047,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.02913865027674,8.599706962168797]}"
91,-15.977362,-16.886223,-9.004663,-11.849816,5.0364075,0,-0.90886205,-2.8451529,46.0,0.7388077285006789,10.262903,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.04476933622041,9.278024833207448]}"
92,-14.923447,-15.711854,-8.973374,-9.633531,6.0783234,0,-0.78840715,-0.66015595,3.0,0.4994330146974033,0.9398866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89924226019305,9.347015447027829]}"
93,-16.7711,-16.821276,-11.63823,-13.972017,2.8492594,0,-0.050177284,-2.3337865,10.0,0.7205958043191406,2.0780742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89924226019305,8.87728638496173]}"
